model,heldout,feature,importance
CP_density3_XGB,13_130_r12345665432loop8,pp_nonlocal12_high_per_res,0.4920108914375305
CP_density3_XGB,13_130_r12345665432loop8,pp_nonlocal24_high_per_res,0.0
CP_density3_XGB,14_130_r123456734loop568,pp_nonlocal4_high_per_res,0.5079891085624695
CP_density3_XGB,14_130_r123456734loop568,pp_nonlocal12_high_per_res,0.4920108914375305
CP_density3_XGB,14_130_r123456734loop568,pp_nonlocal24_high_per_res,0.0
CP_density3_XGB,15_130_r12345673456loop8,pp_nonlocal4_high_per_res,0.5079891085624695
CP_density3_XGB,15_130_r12345673456loop8,pp_nonlocal12_high_per_res,0.4920108914375305
CP_density3_XGB,15_130_r12345673456loop8,pp_nonlocal24_high_per_res,0.0
CP_density3_XGB,16_130_r12365673156loop8,pp_nonlocal4_high_per_res,0.5079891085624695
CP_density3_XGB,16_130_r12365673156loop8,pp_nonlocal12_high_per_res,0.4920108914375305
CP_density3_XGB,16_130_r12365673156loop8,pp_nonlocal24_high_per_res,0.0
CP_summary14_RF,puf12_r123_r5678_r56788,pr_cp_sum,0.03755498588320076
CP_summary14_RF,puf12_r123_r5678_r56788,pr_cp_per_nt,0.034082653266421306
CP_summary14_RF,puf12_r123_r5678_r56788,pr_top20_mean,0.018808121476947704
CP_summary14_RF,puf12_r123_r5678_r56788,pr_rna_max_mean,0.05730967019657162
CP_summary14_RF,puf12_r123_r5678_r56788,pr_rna_max_min,0.0030536042094964546
CP_summary14_RF,puf12_r123_r5678_r56788,pr_rna_coverage_05,0.02352272720354456
CP_summary14_RF,puf12_r123_r5678_r56788,pr_protein_coverage_05,0.018624523602905323
CP_summary14_RF,puf12_r123_r5678_r56788,pr_high_contacts_per_nt,0.02093658273976266
CP_summary14_RF,puf12_r123_r5678_r56788,pp_nonlocal4_per_res,0.057699834043811044
CP_summary14_RF,puf12_r123_r5678_r56788,pp_nonlocal4_high_per_res,0.19573556405602788
CP_summary14_RF,puf12_r123_r5678_r56788,pp_nonlocal12_per_res,0.0846811430487087
CP_summary14_RF,puf12_r123_r5678_r56788,pp_nonlocal12_high_per_res,0.1749878348752547
CP_summary14_RF,puf12_r123_r5678_r56788,pp_nonlocal24_per_res,0.055506613866893144
CP_summary14_RF,puf12_r123_r5678_r56788,pp_nonlocal24_high_per_res,0.2174961415304541
CP_summary14_RF,puf12_r123_r5678_r5loop6788,pr_cp_sum,0.037554488074002974
CP_summary14_RF,puf12_r123_r5678_r5loop6788,pr_cp_per_nt,0.0311666453668618
CP_summary14_RF,puf12_r123_r5678_r5loop6788,pr_top20_mean,0.01911006200853769
CP_summary14_RF,puf12_r123_r5678_r5loop6788,pr_rna_max_mean,0.05347856321960052
