C388_threshold,equivalent_cutoff_lower_exclusive,equivalent_cutoff_upper_inclusive,n_work,n_nonwork,model,validation,objective,AUC,majority_accuracy,score_threshold,accuracy,balanced_accuracy,TP,TN,FP,FN,distance
0.1,0.0866649999999999,0.23336,28,3,CP_Structure9_LR,mutation_group_out,balanced_accuracy,0.75,0.9032258064516129,0.49012400723402627,0.6451612903225806,0.8035714285714286,17.0,3.0,0.0,11.0,0.009875992765973729
0.1,0.0866649999999999,0.23336,28,3,CP3_RF,LOCO,accuracy,0.5833333333333334,0.9032258064516129,0.31597168668191944,0.9354838709677419,0.6666666666666666,28.0,1.0,2.0,0.0,0.18402831331808056
0.1,0.0866649999999999,0.23336,28,3,CP3_RF,LOCO,balanced_accuracy,0.5833333333333334,0.9032258064516129,0.9826014492753623,0.41935483870967744,0.6785714285714286,10.0,3.0,0.0,18.0,0.4826014492753623
0.1,0.0866649999999999,0.23336,28,3,CP3_RF,mutation_group_out,accuracy,0.5833333333333333,0.9032258064516129,0.0,0.9032258064516129,0.5,28.0,0.0,3.0,0.0,0.5
0.1,0.0866649999999999,0.23336,28,3,CP3_RF,mutation_group_out,balanced_accuracy,0.5833333333333333,0.9032258064516129,0.9680811227260533,0.4838709677419355,0.7142857142857143,12.0,3.0,0.0,16.0,0.4680811227260533
0.1,0.0866649999999999,0.23336,28,3,CP_Structure9_RF,LOCO,accuracy,0.5178571428571429,0.9032258064516129,0.4607071932418261,0.9354838709677419,0.6666666666666666,28.0,1.0,2.0,0.0,0.039292806758173926
0.1,0.0866649999999999,0.23336,28,3,CP_Structure9_RF,LOCO,balanced_accuracy,0.5178571428571429,0.9032258064516129,0.4607071932418261,0.9354838709677419,0.6666666666666666,28.0,1.0,2.0,0.0,0.039292806758173926
0.1,0.0866649999999999,0.23336,28,3,CP_Structure9_RF,mutation_group_out,accuracy,0.38095238095238104,0.9032258064516129,0.0,0.9032258064516129,0.5,28.0,0.0,3.0,0.0,0.5
0.1,0.0866649999999999,0.23336,28,3,CP_Structure9_RF,mutation_group_out,balanced_accuracy,0.38095238095238104,0.9032258064516129,0.37406024892824186,0.8709677419354839,0.6309523809523809,26.0,1.0,2.0,2.0,0.12593975107175814
0.25,0.23336,0.2532999999999999,27,4,CP3_LR,LOCO,accuracy,0.0,0.8709677419354839,0.0,0.8709677419354839,0.5,27.0,0.0,4.0,0.0,0.5
0.25,0.23336,0.2532999999999999,27,4,CP3_LR,LOCO,balanced_accuracy,0.0,0.8709677419354839,0.0,0.8709677419354839,0.5,27.0,0.0,4.0,0.0,0.5
0.25,0.23336,0.2532999999999999,27,4,CP3_LR,mutation_group_out,accuracy,0.19444444444444442,0.8709677419354839,0.0,0.8709677419354839,0.5,27.0,0.0,4.0,0.0,0.5
0.25,0.23336,0.2532999999999999,27,4,CP3_LR,mutation_group_out,balanced_accuracy,0.19444444444444442,0.8709677419354839,0.0,0.8709677419354839,0.5,27.0,0.0,4.0,0.0,0.5
0.25,0.23336,0.2532999999999999,27,4,CP_Structure9_LR,LOCO,accuracy,0.7314814814814815,0.8709677419354839,0.22132440959111843,0.9032258064516129,0.625,27.0,1.0,3.0,0.0,0.27867559040888157
0.25,0.23336,0.2532999999999999,27,4,CP_Structure9_LR,LOCO,balanced_accuracy,0.7314814814814815,0.8709677419354839,0.6199409198635881,0.4838709677419355,0.7037037037037037,11.0,4.0,0.0,16.0,0.11994091986358812
0.25,0.23336,0.2532999999999999,27,4,CP_Structure9_LR,mutation_group_out,accuracy,0.6851851851851851,0.8709677419354839,0.37020499624946107,0.9032258064516129,0.7314814814814814,26.0,2.0,2.0,1.0,0.12979500375053893
0.25,0.23336,0.2532999999999999,27,4,CP_Structure9_LR,mutation_group_out,balanced_accuracy,0.6851851851851851,0.8709677419354839,0.37020499624946107,0.9032258064516129,0.7314814814814814,26.0,2.0,2.0,1.0,0.12979500375053893
0.25,0.23336,0.2532999999999999,27,4,CP3_RF,LOCO,accuracy,0.2685185185185185,0.8709677419354839,0.0,0.8709677419354839,0.5,27.0,0.0,4.0,0.0,0.5
0.25,0.23336,0.2532999999999999,27,4,CP3_RF,LOCO,balanced_accuracy,0.2685185185185185,0.8709677419354839,0.46931015640532653,0.8064516129032258,0.5694444444444444,24.0,1.0,3.0,3.0,0.03068984359467347
0.25,0.23336,0.2532999999999999,27,4,CP3_RF,mutation_group_out,accuracy,0.3472222222222222,0.8709677419354839,0.0,0.8709677419354839,0.5,27.0,0.0,4.0,0.0,0.5
0.25,0.23336,0.2532999999999999,27,4,CP3_RF,mutation_group_out,balanced_accuracy,0.3472222222222222,0.8709677419354839,0.4695807872188732,0.7096774193548387,0.5138888888888888,21.0,1.0,3.0,6.0,0.030419212781126803
0.25,0.23336,0.2532999999999999,27,4,CP_Structure9_RF,LOCO,accuracy,0.6157407407407407,0.8709677419354839,0.5,0.8709677419354839,0.6064814814814814,26.0,1.0,3.0,1.0,0.0
0.25,0.23336,0.2532999999999999,27,4,CP_Structure9_RF,LOCO,balanced_accuracy,0.6157407407407407,0.8709677419354839,0.7555562188113334,0.7096774193548387,0.7268518518518519,19.0,3.0,1.0,8.0,0.2555562188113334
