family,threshold_pp,stage,representation,model,n,weighted_n,accuracy,balanced_accuracy,macro_F1,MCC,n_classes_observed,precision_decrease,recall_decrease,F1_decrease,support_decrease,ROC_AUC_decrease,AP_decrease,precision_unchanged,recall_unchanged,F1_unchanged,support_unchanged,ROC_AUC_unchanged,AP_unchanged,specificity,false_negative_rate,ROC_AUC,AP,cm_0_0,cm_0_1,cm_1_0,cm_1_1
high_variance_PR,-7.5,screen,full_PR|raw|25|0|variance|0|False,"{""algorithm"": ""Ridge"", ""alpha"": 1.0, ""class_weight"": ""balanced""}",76,76.0,0.5263157894736842,0.5250205086136177,0.5043478260869565,0.045993326000985844,2,0.717948717948718,0.5283018867924528,0.6086956521739131,53.0,0.5020508613617719,0.7002645170930387,0.32432432432432434,0.5217391304347826,0.4,23.0,0.5020508613617719,0.31576977143945895,0.5217391304347826,0.4716981132075472,0.5020508613617719,0.7002645170930387,28.0,25.0,11.0,12.0
high_variance_PR,-7.5,screen,full_PR|raw|100|0|variance|0|False,"{""algorithm"": ""Ridge"", ""alpha"": 1.0, ""class_weight"": ""balanced""}",76,76.0,0.5921052631578947,0.5475799835931091,0.5426130848378955,0.09062677007138897,2,0.7291666666666666,0.660377358490566,0.693069306930693,53.0,0.49302707136997537,0.7289407357809541,0.35714285714285715,0.43478260869565216,0.39215686274509803,23.0,0.49302707136997537,0.3028525671152648,0.43478260869565216,0.339622641509434,0.49302707136997537,0.7289407357809541,35.0,18.0,13.0,10.0
high_variance_PR,-7.5,screen,full_PR|raw|250|0|variance|0|False,"{""algorithm"": ""Ridge"", ""alpha"": 1.0, ""class_weight"": ""balanced""}",76,76.0,0.6052631578947368,0.5324036095159967,0.5324036095159967,0.06480721903199343,2,0.7169811320754716,0.7169811320754716,0.7169811320754716,53.0,0.5110746513535684,0.7144075412030033,0.34782608695652173,0.34782608695652173,0.34782608695652173,23.0,0.5110746513535684,0.3371615573392368,0.34782608695652173,0.28301886792452835,0.5110746513535684,0.7144075412030033,38.0,15.0,15.0,8.0
high_variance_PR,-7.5,screen,full_PR|raw|1000|0|variance|0|False,"{""algorithm"": ""Ridge"", ""alpha"": 1.0, ""class_weight"": ""balanced""}",76,76.0,0.6578947368421053,0.5578342904019689,0.5589285714285714,0.12751662020329346,2,0.7288135593220338,0.8113207547169812,0.7678571428571429,53.0,0.5143560295324037,0.6887110084595418,0.4117647058823529,0.30434782608695654,0.35,23.0,0.5143560295324037,0.343880201136013,0.30434782608695654,0.18867924528301883,0.5143560295324037,0.6887110084595418,43.0,10.0,16.0,7.0
all_PR,-7.5,screen,full_PR|delta|all|0|variance|0|False,"{""algorithm"": ""Ridge"", ""alpha"": 1.0, ""class_weight"": ""balanced""}",76,76.0,0.6578947368421053,0.5578342904019689,0.5589285714285714,0.12751662020329346,2,0.7288135593220338,0.8113207547169812,0.7678571428571429,53.0,0.5143560295324037,0.6887110084595418,0.4117647058823529,0.30434782608695654,0.35,23.0,0.5143560295324037,0.343880201136013,0.30434782608695654,0.18867924528301883,0.5143560295324037,0.6887110084595418,43.0,10.0,16.0,7.0
high_variance_PR,-7.5,screen,full_PR|delta|25|0|variance|0|False,"{""algorithm"": ""Ridge"", ""alpha"": 1.0, ""class_weight"": ""balanced""}",76,76.0,0.5263157894736842,0.5250205086136177,0.5043478260869565,0.045993326000985844,2,0.717948717948718,0.5283018867924528,0.6086956521739131,53.0,0.5020508613617719,0.7002645170930387,0.32432432432432434,0.5217391304347826,0.4,23.0,0.5020508613617719,0.31576977143945895,0.5217391304347826,0.4716981132075472,0.5020508613617719,0.7002645170930387,28.0,25.0,11.0,12.0
high_variance_PR,-7.5,screen,full_PR|delta|100|0|variance|0|False,"{""algorithm"": ""Ridge"", ""alpha"": 1.0, ""class_weight"": ""balanced""}",76,76.0,0.5921052631578947,0.5475799835931091,0.5426130848378955,0.09062677007138897,2,0.7291666666666666,0.660377358490566,0.693069306930693,53.0,0.49302707136997537,0.7289407357809541,0.35714285714285715,0.43478260869565216,0.39215686274509803,23.0,0.49302707136997537,0.3028525671152648,0.43478260869565216,0.339622641509434,0.49302707136997537,0.7289407357809541,35.0,18.0,13.0,10.0
high_variance_PR,-7.5,screen,full_PR|delta|250|0|variance|0|False,"{""algorithm"": ""Ridge"", ""alpha"": 1.0, ""class_weight"": ""balanced""}",76,76.0,0.6052631578947368,0.5324036095159967,0.5324036095159967,0.06480721903199343,2,0.7169811320754716,0.7169811320754716,0.7169811320754716,53.0,0.5110746513535684,0.7144075412030033,0.34782608695652173,0.34782608695652173,0.34782608695652173,23.0,0.5110746513535684,0.3371615573392368,0.34782608695652173,0.28301886792452835,0.5110746513535684,0.7144075412030033,38.0,15.0,15.0,8.0
high_variance_PR,-7.5,screen,full_PR|delta|1000|0|variance|0|False,"{""algorithm"": ""Ridge"", ""alpha"": 1.0, ""class_weight"": ""balanced""}",76,76.0,0.6578947368421053,0.5578342904019689,0.5589285714285714,0.12751662020329346,2,0.7288135593220338,0.8113207547169812,0.7678571428571429,53.0,0.5143560295324037,0.6887110084595418,0.4117647058823529,0.30434782608695654,0.35,23.0,0.5143560295324037,0.343880201136013,0.30434782608695654,0.18867924528301883,0.5143560295324037,0.6887110084595418,43.0,10.0,16.0,7.0
RNA_protein_interface,-7.5,screen,PR_reference_interface|raw|all|0|variance|0.2|False,"{""algorithm"": ""Ridge"", ""alpha"": 1.0, ""class_weight"": ""balanced""}",76,76.0,0.5921052631578947,0.5352748154224775,0.5331880324945513,0.06831639206755422,2,0.72,0.6792452830188679,0.6990291262135923,53.0,0.5783429040196882,0.7592199096182066,0.34615384615384615,0.391304347826087,0.3673469387755102,23.0,0.5783429040196882,0.4013496328609344,0.391304347826087,0.3207547169811321,0.5783429040196882,0.7592199096182066,36.0,17.0,14.0,9.0
