site,label_threshold_delta_pp,equivalent_delta_lower_exclusive_pp,equivalent_delta_upper_inclusive_pp,model,n_high,n_low,AUC,BA_fixed_score05,score_threshold,BA,accuracy,sensitivity,specificity,TN,FP,FN,TP
C388,-36.450750000000006,-37.67250000000001,-35.229000000000006,Repository_LR,23,7,0.7329192546583851,0.6770186335403727,0.31427977795031137,0.7142857142857143,0.8666666666666667,1.0,0.42857142857142855,3,4,0,23
C388,-36.450750000000006,-37.67250000000001,-35.229000000000006,ContactSeek_Top3_RF,23,7,0.6024844720496895,0.6925465838509317,0.5,0.6925465838509317,0.8333333333333334,0.9565217391304348,0.42857142857142855,3,4,1,22
C388,-36.450750000000006,-37.67250000000001,-35.229000000000006,ContactSeek_CCR_RF,23,7,0.6211180124223603,0.670807453416149,0.39251207388563303,0.7142857142857143,0.8666666666666667,1.0,0.42857142857142855,3,4,0,23
C388,-18.328500000000012,-19.639500000000005,-17.01750000000002,Total_CP_LR,19,11,0.44019138755980863,0.569377990430622,0.5072257354531131,0.6148325358851674,0.6333333333333333,0.6842105263157895,0.5454545454545454,6,5,6,13
C388,-18.328500000000012,-19.639500000000005,-17.01750000000002,Interface_CP_LR,19,11,0.6076555023923444,0.6411483253588517,0.4673919249173431,0.700956937799043,0.7666666666666667,0.9473684210526315,0.45454545454545453,5,6,1,18
C388,-18.328500000000012,-19.639500000000005,-17.01750000000002,S4_S12_S24_LR,19,11,0.7320574162679425,0.7057416267942584,0.5272994483599589,0.7966507177033493,0.7666666666666667,0.6842105263157895,0.9090909090909091,10,1,6,13
C388,-18.328500000000012,-19.639500000000005,-17.01750000000002,Repository_LR,19,11,0.8325358851674641,0.777511961722488,0.5,0.777511961722488,0.7666666666666667,0.7368421052631579,0.8181818181818182,9,2,5,14
C388,-18.328500000000012,-19.639500000000005,-17.01750000000002,ContactSeek_Top3_RF,19,11,0.6267942583732057,0.5502392344497608,0.7973560960409168,0.6578947368421053,0.5666666666666667,0.3157894736842105,1.0,11,0,13,6
C388,-18.328500000000012,-19.639500000000005,-17.01750000000002,ContactSeek_CCR_RF,19,11,0.6459330143540669,0.5956937799043062,0.7292282799933516,0.6913875598086124,0.6333333333333333,0.47368421052631576,0.9090909090909091,10,1,10,9
C388,-16.974750000000014,-17.01750000000002,-16.93200000000001,Total_CP_LR,18,12,0.37037037037037035,0.5416666666666666,0.5051435425038953,0.5833333333333333,0.6,0.6666666666666666,0.5,6,6,6,12
C388,-16.974750000000014,-17.01750000000002,-16.93200000000001,Interface_CP_LR,18,12,0.5648148148148148,0.5277777777777778,0.4690326146967854,0.6805555555555556,0.7333333333333333,0.9444444444444444,0.4166666666666667,5,7,1,17
