validation,fold,reported_family,family,q,threshold,inner_BA,parameters,selection_family
LOOCV,27,nested_family_selection,local_CP,15,0.25022336924021404,0.7421052631578948,"{""kind"": ""EN"", ""C"": 10, ""l1_ratio"": 0.9}",nested_family_selection
LOOCV,28,sequence,sequence,0,0.4532844539730716,0.6605263157894736,"{""kind"": ""L2"", ""C"": 0.01}",
LOOCV,28,local_CP,local_CP,11,0.4089609309937938,0.7921052631578948,"{""kind"": ""EN"", ""C"": 1, ""l1_ratio"": 0.5}",
LOOCV,28,sequence_plus_CP,sequence_plus_CP,10,0.37709755383600196,0.6684210526315789,"{""kind"": ""EN"", ""C"": 1, ""l1_ratio"": 0.1}",
LOOCV,28,nested_family_selection,local_CP,11,0.4089609309937938,0.7921052631578948,"{""kind"": ""EN"", ""C"": 1, ""l1_ratio"": 0.5}",nested_family_selection
LOOCV,29,sequence,sequence,23,0.3161193342147126,0.6894736842105263,"{""kind"": ""RF"", ""max_depth"": 3, ""min_samples_leaf"": 3}",
LOOCV,29,local_CP,local_CP,11,0.35661910230794003,0.7394736842105263,"{""kind"": ""EN"", ""C"": 1, ""l1_ratio"": 0.5}",
LOOCV,29,sequence_plus_CP,sequence_plus_CP,15,0.037050886196972936,0.6894736842105263,"{""kind"": ""EN"", ""C"": 10, ""l1_ratio"": 0.9}",
LOOCV,29,nested_family_selection,local_CP,11,0.35661910230794003,0.7394736842105263,"{""kind"": ""EN"", ""C"": 1, ""l1_ratio"": 0.5}",nested_family_selection
Strict_position_out,4,sequence,sequence,0,0.0,0.5,"{""kind"": ""L2"", ""C"": 0.01}",
Strict_position_out,4,local_CP,local_CP,0,0.0,0.5,"{""kind"": ""L2"", ""C"": 0.01}",
Strict_position_out,4,sequence_plus_CP,sequence_plus_CP,0,0.0,0.5,"{""kind"": ""L2"", ""C"": 0.01}",
Strict_position_out,4,nested_family_selection,sequence,0,0.0,0.5,"{""kind"": ""L2"", ""C"": 0.01}",nested_family_selection
Strict_position_out,5,sequence,sequence,1,0.6368221310087316,0.5673076923076923,"{""kind"": ""L2"", ""C"": 0.1}",
Strict_position_out,5,local_CP,local_CP,0,0.0,0.5,"{""kind"": ""L2"", ""C"": 0.01}",
Strict_position_out,5,sequence_plus_CP,sequence_plus_CP,15,0.8262220679293942,0.5432692307692308,"{""kind"": ""EN"", ""C"": 10, ""l1_ratio"": 0.9}",
Strict_position_out,5,nested_family_selection,sequence,1,0.6368221310087316,0.5673076923076923,"{""kind"": ""L2"", ""C"": 0.1}",nested_family_selection
Strict_position_out,6,sequence,sequence,17,0.37985493901543194,0.6071428571428571,"{""kind"": ""RF"", ""max_depth"": 1, ""min_samples_leaf"": 3}",
Strict_position_out,6,local_CP,local_CP,0,0.6286804724186356,0.75,"{""kind"": ""L2"", ""C"": 0.01}",
Strict_position_out,6,sequence_plus_CP,sequence_plus_CP,0,0.5,0.6464285714285715,"{""kind"": ""L2"", ""C"": 0.01}",
Strict_position_out,6,nested_family_selection,local_CP,0,0.6286804724186356,0.75,"{""kind"": ""L2"", ""C"": 0.01}",nested_family_selection
Strict_position_out,7,sequence,sequence,2,0.5266559834574119,0.8333333333333333,"{""kind"": ""L2"", ""C"": 1}",
Strict_position_out,7,local_CP,local_CP,1,0.2085264340041727,0.6,"{""kind"": ""L2"", ""C"": 0.1}",
Strict_position_out,7,sequence_plus_CP,sequence_plus_CP,2,0.29766173545327135,0.6041666666666666,"{""kind"": ""L2"", ""C"": 1}",
Strict_position_out,7,nested_family_selection,sequence,2,0.5266559834574119,0.8333333333333333,"{""kind"": ""L2"", ""C"": 1}",nested_family_selection
Strict_position_out,8,sequence,sequence,3,0.5709995311952605,0.6605263157894736,"{""kind"": ""L2"", ""C"": 10}",
Strict_position_out,8,local_CP,local_CP,10,0.023918244693639654,0.6473684210526316,"{""kind"": ""EN"", ""C"": 1, ""l1_ratio"": 0.1}",
Strict_position_out,8,sequence_plus_CP,sequence_plus_CP,1,0.2630572017828017,0.6355263157894737,"{""kind"": ""L2"", ""C"": 0.1}",
Strict_position_out,8,nested_family_selection,sequence,3,0.5709995311952605,0.6605263157894736,"{""kind"": ""L2"", ""C"": 10}",nested_family_selection
