family,validation,model,AUC,baseline_BA,threshold,balanced_accuracy,accuracy,precision,recall,specificity,TN,FP,FN,TP
retrained,mutation_group_out,CP14_LR,0.6363636363636365,0.6868686868686869,0.5,0.6868686868686869,0.7419354838709677,0.8181818181818182,0.8181818181818182,0.5555555555555556,5,4,4,18
retrained,mutation_group_out,CP14_RF,0.6515151515151515,0.5429292929292929,0.6808309954650263,0.6414141414141414,0.6774193548387096,0.8,0.7272727272727273,0.5555555555555556,5,4,6,16
retrained,mutation_group_out,CP3_LR,0.696969696969697,0.6742424242424242,0.510423857014471,0.7853535353535352,0.7419354838709677,0.9375,0.6818181818181818,0.8888888888888888,8,1,7,15
retrained,mutation_group_out,CP3_RF,0.6742424242424242,0.6414141414141414,0.6555546575627609,0.7070707070707071,0.6774193548387096,0.875,0.6363636363636364,0.7777777777777778,7,2,8,14
retrained,mutation_group_out,CP_Interface6_LR,0.5808080808080809,0.5631313131313131,0.4786094274303565,0.6313131313131313,0.7096774193548387,0.782608695652174,0.8181818181818182,0.4444444444444444,4,5,4,18
retrained,mutation_group_out,CP_Interface6_RF,0.6161616161616161,0.5757575757575758,0.7140793092565827,0.6843434343434344,0.6451612903225806,0.8666666666666667,0.5909090909090909,0.7777777777777778,7,2,9,13
retrained,mutation_group_out,CP_RNA7_LR,0.6464646464646465,0.696969696969697,0.5,0.696969696969697,0.7096774193548387,0.8421052631578947,0.7272727272727273,0.6666666666666666,6,3,6,16
retrained,mutation_group_out,CP_RNA7_RF,0.7146464646464648,0.5757575757575758,0.5748037997879587,0.7424242424242424,0.7741935483870968,0.8571428571428571,0.8181818181818182,0.6666666666666666,6,3,4,18
retrained,mutation_group_out,CP_Structure9_LR,0.797979797979798,0.7070707070707071,0.5661915841676888,0.7727272727272727,0.6774193548387096,1.0,0.5454545454545454,1.0,9,0,10,12
retrained,mutation_group_out,CP_Structure9_RF,0.6616161616161615,0.6085858585858586,0.8411315365758871,0.6818181818181819,0.5483870967741935,1.0,0.36363636363636365,1.0,9,0,14,8
retrained,mutation_group_out,RNA4_LR,0.5555555555555556,0.5732323232323233,0.518834579144799,0.6287878787878788,0.6129032258064516,0.8125,0.5909090909090909,0.6666666666666666,6,3,9,13
retrained,mutation_group_out,RNA4_RF,0.5000000000000001,0.452020202020202,0.6547058625032959,0.5833333333333333,0.5483870967741935,0.7857142857142857,0.5,0.6666666666666666,6,3,11,11
retrained,mutation_group_out,Structure6_LR,0.7222222222222222,0.6287878787878788,0.4248030188724562,0.6868686868686869,0.7419354838709677,0.8181818181818182,0.8181818181818182,0.5555555555555556,5,4,4,18
retrained,mutation_group_out,Structure6_RF,0.5353535353535354,0.5404040404040404,0.39238292769986205,0.5757575757575758,0.6774193548387096,0.75,0.8181818181818182,0.3333333333333333,3,6,4,18
