family,validation,model,threshold,balanced_accuracy,accuracy,precision,recall,specificity,TN,FP,FN,TP
retrained,LOCO,Structure6_RF,0.8358928733865609,0.6035353535353535,0.4838709677419355,0.875,0.3181818181818182,0.8888888888888888,8,1,15,7
retrained,LOCO,Structure6_RF,0.8428812946361747,0.5808080808080808,0.45161290322580644,0.8571428571428571,0.2727272727272727,0.8888888888888888,8,1,16,6
retrained,LOCO,Structure6_RF,0.8535888151039774,0.5580808080808081,0.41935483870967744,0.8333333333333334,0.22727272727272727,0.8888888888888888,8,1,17,5
retrained,LOCO,Structure6_RF,0.8704448919851409,0.5353535353535354,0.3870967741935484,0.8,0.18181818181818182,0.8888888888888888,8,1,18,4
retrained,LOCO,Structure6_RF,0.883410196951359,0.5126262626262625,0.3548387096774194,0.75,0.13636363636363635,0.8888888888888888,8,1,19,3
retrained,LOCO,Structure6_RF,0.9001532593384869,0.4898989898989899,0.3225806451612903,0.6666666666666666,0.09090909090909091,0.8888888888888888,8,1,20,2
retrained,LOCO,Structure6_RF,0.9115072131513315,0.4671717171717171,0.2903225806451613,0.5,0.045454545454545456,0.8888888888888888,8,1,21,1
retrained,LOCO,Structure6_RF,0.9204484691257425,0.5227272727272727,0.3225806451612903,1.0,0.045454545454545456,1.0,9,0,21,1
retrained,LOCO,Structure6_RF,1.00000001,0.5,0.2903225806451613,0.0,0.0,1.0,9,0,22,0
retrained,mutation_group_out,CP14_LR,0.0,0.5,0.7096774193548387,0.7096774193548387,1.0,0.0,0,9,0,22
retrained,mutation_group_out,CP14_LR,0.12651636127878269,0.5555555555555556,0.7419354838709677,0.7333333333333333,1.0,0.1111111111111111,1,8,0,22
retrained,mutation_group_out,CP14_LR,0.26552498030274235,0.5328282828282829,0.7096774193548387,0.7241379310344828,0.9545454545454546,0.1111111111111111,1,8,1,21
retrained,mutation_group_out,CP14_LR,0.36000113220399343,0.5883838383838385,0.7419354838709677,0.75,0.9545454545454546,0.2222222222222222,2,7,1,21
retrained,mutation_group_out,CP14_LR,0.4103209386514268,0.6439393939393939,0.7741935483870968,0.7777777777777778,0.9545454545454546,0.3333333333333333,3,6,1,21
retrained,mutation_group_out,CP14_LR,0.4323655449513383,0.6212121212121212,0.7419354838709677,0.7692307692307693,0.9090909090909091,0.3333333333333333,3,6,2,20
retrained,mutation_group_out,CP14_LR,0.4465837050078667,0.5984848484848485,0.7096774193548387,0.76,0.8636363636363636,0.3333333333333333,3,6,3,19
retrained,mutation_group_out,CP14_LR,0.4550951066837336,0.5757575757575758,0.6774193548387096,0.75,0.8181818181818182,0.3333333333333333,3,6,4,18
retrained,mutation_group_out,CP14_LR,0.46853691484011084,0.6313131313131313,0.7096774193548387,0.782608695652174,0.8181818181818182,0.4444444444444444,4,5,4,18
retrained,mutation_group_out,CP14_LR,0.4930307456755558,0.6868686868686869,0.7419354838709677,0.8181818181818182,0.8181818181818182,0.5555555555555556,5,4,4,18
retrained,mutation_group_out,CP14_LR,0.5,0.6868686868686869,0.7419354838709677,0.8181818181818182,0.8181818181818182,0.5555555555555556,5,4,4,18
retrained,mutation_group_out,CP14_LR,0.5124859604644976,0.6641414141414141,0.7096774193548387,0.8095238095238095,0.7727272727272727,0.5555555555555556,5,4,5,17
retrained,mutation_group_out,CP14_LR,0.5209506292547968,0.6414141414141414,0.6774193548387096,0.8,0.7272727272727273,0.5555555555555556,5,4,6,16
retrained,mutation_group_out,CP14_LR,0.5245564751728446,0.6186868686868687,0.6451612903225806,0.7894736842105263,0.6818181818181818,0.5555555555555556,5,4,7,15
retrained,mutation_group_out,CP14_LR,0.5338925073222188,0.595959595959596,0.6129032258064516,0.7777777777777778,0.6363636363636364,0.5555555555555556,5,4,8,14
retrained,mutation_group_out,CP14_LR,0.5451482282945694,0.5732323232323233,0.5806451612903226,0.7647058823529411,0.5909090909090909,0.5555555555555556,5,4,9,13
retrained,mutation_group_out,CP14_LR,0.5516291795326518,0.5505050505050505,0.5483870967741935,0.75,0.5454545454545454,0.5555555555555556,5,4,10,12
retrained,mutation_group_out,CP14_LR,0.5566898353199552,0.5277777777777778,0.5161290322580645,0.7333333333333333,0.5,0.5555555555555556,5,4,11,11
retrained,mutation_group_out,CP14_LR,0.558911924543599,0.5050505050505051,0.4838709677419355,0.7142857142857143,0.45454545454545453,0.5555555555555556,5,4,12,10
retrained,mutation_group_out,CP14_LR,0.5660210174923184,0.5606060606060606,0.5161290322580645,0.7692307692307693,0.45454545454545453,0.6666666666666666,6,3,12,10
retrained,mutation_group_out,CP14_LR,0.5791720432193401,0.5378787878787878,0.4838709677419355,0.75,0.4090909090909091,0.6666666666666666,6,3,13,9
retrained,mutation_group_out,CP14_LR,0.5918467734813739,0.5934343434343434,0.5161290322580645,0.8181818181818182,0.4090909090909091,0.7777777777777778,7,2,13,9
retrained,mutation_group_out,CP14_LR,0.6009192119519725,0.5707070707070707,0.4838709677419355,0.8,0.36363636363636365,0.7777777777777778,7,2,14,8
retrained,mutation_group_out,CP14_LR,0.6048889071365424,0.547979797979798,0.45161290322580644,0.7777777777777778,0.3181818181818182,0.7777777777777778,7,2,15,7
retrained,mutation_group_out,CP14_LR,0.6108800727243502,0.6035353535353535,0.4838709677419355,0.875,0.3181818181818182,0.8888888888888888,8,1,15,7
retrained,mutation_group_out,CP14_LR,0.6193546454584038,0.5808080808080808,0.45161290322580644,0.8571428571428571,0.2727272727272727,0.8888888888888888,8,1,16,6
retrained,mutation_group_out,CP14_LR,0.6346667517567479,0.5580808080808081,0.41935483870967744,0.8333333333333334,0.22727272727272727,0.8888888888888888,8,1,17,5
retrained,mutation_group_out,CP14_LR,0.6509007951226896,0.5353535353535354,0.3870967741935484,0.8,0.18181818181818182,0.8888888888888888,8,1,18,4
retrained,mutation_group_out,CP14_LR,0.6730661168600285,0.5126262626262625,0.3548387096774194,0.75,0.13636363636363635,0.8888888888888888,8,1,19,3
retrained,mutation_group_out,CP14_LR,0.7002633070234676,0.4898989898989899,0.3225806451612903,0.6666666666666666,0.09090909090909091,0.8888888888888888,8,1,20,2
retrained,mutation_group_out,CP14_LR,0.7234681296278196,0.4671717171717171,0.2903225806451613,0.5,0.045454545454545456,0.8888888888888888,8,1,21,1
retrained,mutation_group_out,CP14_LR,0.7635491947251695,0.4444444444444444,0.25806451612903225,0.0,0.0,0.8888888888888888,8,1,22,0
retrained,mutation_group_out,CP14_LR,1.00000001,0.5,0.2903225806451613,0.0,0.0,1.0,9,0,22,0
retrained,mutation_group_out,CP14_RF,0.0,0.5,0.7096774193548387,0.7096774193548387,1.0,0.0,0,9,0,22
retrained,mutation_group_out,CP14_RF,0.18301093290604165,0.5555555555555556,0.7419354838709677,0.7333333333333333,1.0,0.1111111111111111,1,8,0,22
retrained,mutation_group_out,CP14_RF,0.21674788289143276,0.5328282828282829,0.7096774193548387,0.7241379310344828,0.9545454545454546,0.1111111111111111,1,8,1,21
retrained,mutation_group_out,CP14_RF,0.34636166328218915,0.51010101010101,0.6774193548387096,0.7142857142857143,0.9090909090909091,0.1111111111111111,1,8,2,20
retrained,mutation_group_out,CP14_RF,0.470288765630143,0.5656565656565656,0.7096774193548387,0.7407407407407407,0.9090909090909091,0.2222222222222222,2,7,2,20
retrained,mutation_group_out,CP14_RF,0.5,0.5429292929292929,0.6774193548387096,0.7307692307692307,0.8636363636363636,0.2222222222222222,2,7,3,19
retrained,mutation_group_out,CP14_RF,0.5157295537647837,0.5429292929292929,0.6774193548387096,0.7307692307692307,0.8636363636363636,0.2222222222222222,2,7,3,19
retrained,mutation_group_out,CP14_RF,0.5748648097854379,0.5984848484848485,0.7096774193548387,0.76,0.8636363636363636,0.3333333333333333,3,6,3,19
retrained,mutation_group_out,CP14_RF,0.6190673453973157,0.5757575757575758,0.6774193548387096,0.75,0.8181818181818182,0.3333333333333333,3,6,4,18
retrained,mutation_group_out,CP14_RF,0.636972325229525,0.553030303030303,0.6451612903225806,0.7391304347826086,0.7727272727272727,0.3333333333333333,3,6,5,17
retrained,mutation_group_out,CP14_RF,0.6435279522798252,0.6085858585858586,0.6774193548387096,0.7727272727272727,0.7727272727272727,0.4444444444444444,4,5,5,17
retrained,mutation_group_out,CP14_RF,0.6585969065671298,0.5858585858585859,0.6451612903225806,0.7619047619047619,0.7272727272727273,0.4444444444444444,4,5,6,16
retrained,mutation_group_out,CP14_RF,0.6808309954650263,0.6414141414141414,0.6774193548387096,0.8,0.7272727272727273,0.5555555555555556,5,4,6,16
retrained,mutation_group_out,CP14_RF,0.6888138771045575,0.6186868686868687,0.6451612903225806,0.7894736842105263,0.6818181818181818,0.5555555555555556,5,4,7,15
retrained,mutation_group_out,CP14_RF,0.7047722656980087,0.595959595959596,0.6129032258064516,0.7777777777777778,0.6363636363636364,0.5555555555555556,5,4,8,14
retrained,mutation_group_out,CP14_RF,0.7214232745141389,0.5732323232323233,0.5806451612903226,0.7647058823529411,0.5909090909090909,0.5555555555555556,5,4,9,13
retrained,mutation_group_out,CP14_RF,0.7276960758879061,0.5505050505050505,0.5483870967741935,0.75,0.5454545454545454,0.5555555555555556,5,4,10,12
retrained,mutation_group_out,CP14_RF,0.736516633761693,0.5277777777777778,0.5161290322580645,0.7333333333333333,0.5,0.5555555555555556,5,4,11,11
retrained,mutation_group_out,CP14_RF,0.7537260032350341,0.5833333333333333,0.5483870967741935,0.7857142857142857,0.5,0.6666666666666666,6,3,11,11
retrained,mutation_group_out,CP14_RF,0.7677525183865492,0.6388888888888888,0.5806451612903226,0.8461538461538461,0.5,0.7777777777777778,7,2,11,11
retrained,mutation_group_out,CP14_RF,0.7870156136245106,0.6161616161616161,0.5483870967741935,0.8333333333333334,0.45454545454545453,0.7777777777777778,7,2,12,10
retrained,mutation_group_out,CP14_RF,0.8091698972834473,0.5934343434343434,0.5161290322580645,0.8181818181818182,0.4090909090909091,0.7777777777777778,7,2,13,9
retrained,mutation_group_out,CP14_RF,0.8134080987147272,0.5707070707070707,0.4838709677419355,0.8,0.36363636363636365,0.7777777777777778,7,2,14,8
retrained,mutation_group_out,CP14_RF,0.8186652129942006,0.6262626262626263,0.5161290322580645,0.8888888888888888,0.36363636363636365,0.8888888888888888,8,1,14,8
retrained,mutation_group_out,CP14_RF,0.8228961690108487,0.6035353535353535,0.4838709677419355,0.875,0.3181818181818182,0.8888888888888888,8,1,15,7
retrained,mutation_group_out,CP14_RF,0.8251637753996405,0.5808080808080808,0.45161290322580644,0.8571428571428571,0.2727272727272727,0.8888888888888888,8,1,16,6
retrained,mutation_group_out,CP14_RF,0.8305688708157333,0.5580808080808081,0.41935483870967744,0.8333333333333334,0.22727272727272727,0.8888888888888888,8,1,17,5
retrained,mutation_group_out,CP14_RF,0.8682693848439834,0.6136363636363636,0.45161290322580644,1.0,0.22727272727272727,1.0,9,0,17,5
retrained,mutation_group_out,CP14_RF,0.9273415731345223,0.5909090909090909,0.41935483870967744,1.0,0.18181818181818182,1.0,9,0,18,4
retrained,mutation_group_out,CP14_RF,0.9525827505827507,0.5454545454545454,0.3548387096774194,1.0,0.09090909090909091,1.0,9,0,20,2
retrained,mutation_group_out,CP14_RF,0.9603605283605283,0.5227272727272727,0.3225806451612903,1.0,0.045454545454545456,1.0,9,0,21,1
retrained,mutation_group_out,CP14_RF,1.00000001,0.5,0.2903225806451613,0.0,0.0,1.0,9,0,22,0
retrained,mutation_group_out,CP3_LR,0.0,0.5,0.7096774193548387,0.7096774193548387,1.0,0.0,0,9,0,22
retrained,mutation_group_out,CP3_LR,0.31964547617856476,0.4772727272727273,0.6774193548387096,0.7,0.9545454545454546,0.0,0,9,1,21
retrained,mutation_group_out,CP3_LR,0.34661639545531875,0.45454545454545453,0.6451612903225806,0.6896551724137931,0.9090909090909091,0.0,0,9,2,20
retrained,mutation_group_out,CP3_LR,0.36418405648389773,0.51010101010101,0.6774193548387096,0.7142857142857143,0.9090909090909091,0.1111111111111111,1,8,2,20
retrained,mutation_group_out,CP3_LR,0.3918413723999973,0.48737373737373735,0.6451612903225806,0.7037037037037037,0.8636363636363636,0.1111111111111111,1,8,3,19
retrained,mutation_group_out,CP3_LR,0.42152417257365277,0.5429292929292929,0.6774193548387096,0.7307692307692307,0.8636363636363636,0.2222222222222222,2,7,3,19
retrained,mutation_group_out,CP3_LR,0.4395277552499195,0.5984848484848485,0.7096774193548387,0.76,0.8636363636363636,0.3333333333333333,3,6,3,19
retrained,mutation_group_out,CP3_LR,0.4625136964862561,0.654040404040404,0.7419354838709677,0.7916666666666666,0.8636363636363636,0.4444444444444444,4,5,3,19
retrained,mutation_group_out,CP3_LR,0.48110265862991897,0.6313131313131313,0.7096774193548387,0.782608695652174,0.8181818181818182,0.4444444444444444,4,5,4,18
retrained,mutation_group_out,CP3_LR,0.4880129922879659,0.6085858585858586,0.6774193548387096,0.7727272727272727,0.7727272727272727,0.4444444444444444,4,5,5,17
retrained,mutation_group_out,CP3_LR,0.49143150415420866,0.5858585858585859,0.6451612903225806,0.7619047619047619,0.7272727272727273,0.4444444444444444,4,5,6,16
retrained,mutation_group_out,CP3_LR,0.4945407295693439,0.6414141414141414,0.6774193548387096,0.8,0.7272727272727273,0.5555555555555556,5,4,6,16
retrained,mutation_group_out,CP3_LR,0.4959713503364708,0.6186868686868687,0.6451612903225806,0.7894736842105263,0.6818181818181818,0.5555555555555556,5,4,7,15
retrained,mutation_group_out,CP3_LR,0.49909570757428706,0.6742424242424242,0.6774193548387096,0.8333333333333334,0.6818181818181818,0.6666666666666666,6,3,7,15
retrained,mutation_group_out,CP3_LR,0.5,0.6742424242424242,0.6774193548387096,0.8333333333333334,0.6818181818181818,0.6666666666666666,6,3,7,15
retrained,mutation_group_out,CP3_LR,0.5034871813593016,0.7297979797979798,0.7096774193548387,0.8823529411764706,0.6818181818181818,0.7777777777777778,7,2,7,15
retrained,mutation_group_out,CP3_LR,0.510423857014471,0.7853535353535352,0.7419354838709677,0.9375,0.6818181818181818,0.8888888888888888,8,1,7,15
retrained,mutation_group_out,CP3_LR,0.520117833351516,0.7626262626262625,0.7096774193548387,0.9333333333333333,0.6363636363636364,0.8888888888888888,8,1,8,14
retrained,mutation_group_out,CP3_LR,0.524200953204054,0.7398989898989898,0.6774193548387096,0.9285714285714286,0.5909090909090909,0.8888888888888888,8,1,9,13
retrained,mutation_group_out,CP3_LR,0.5247394184860266,0.7171717171717171,0.6451612903225806,0.9230769230769231,0.5454545454545454,0.8888888888888888,8,1,10,12
retrained,mutation_group_out,CP3_LR,0.5287467150374925,0.6944444444444444,0.6129032258064516,0.9166666666666666,0.5,0.8888888888888888,8,1,11,11
retrained,mutation_group_out,CP3_LR,0.5361477262187995,0.6717171717171717,0.5806451612903226,0.9090909090909091,0.45454545454545453,0.8888888888888888,8,1,12,10
retrained,mutation_group_out,CP3_LR,0.542065282475729,0.648989898989899,0.5483870967741935,0.9,0.4090909090909091,0.8888888888888888,8,1,13,9
retrained,mutation_group_out,CP3_LR,0.5456046291480128,0.6262626262626263,0.5161290322580645,0.8888888888888888,0.36363636363636365,0.8888888888888888,8,1,14,8
retrained,mutation_group_out,CP3_LR,0.5515120514956867,0.6035353535353535,0.4838709677419355,0.875,0.3181818181818182,0.8888888888888888,8,1,15,7
retrained,mutation_group_out,CP3_LR,0.5633989352852038,0.5808080808080808,0.45161290322580644,0.8571428571428571,0.2727272727272727,0.8888888888888888,8,1,16,6
retrained,mutation_group_out,CP3_LR,0.5736643758923787,0.5580808080808081,0.41935483870967744,0.8333333333333334,0.22727272727272727,0.8888888888888888,8,1,17,5
retrained,mutation_group_out,CP3_LR,0.5934693159892634,0.5353535353535354,0.3870967741935484,0.8,0.18181818181818182,0.8888888888888888,8,1,18,4
retrained,mutation_group_out,CP3_LR,0.6179025157016704,0.5126262626262625,0.3548387096774194,0.75,0.13636363636363635,0.8888888888888888,8,1,19,3
retrained,mutation_group_out,CP3_LR,0.6666780904882763,0.4898989898989899,0.3225806451612903,0.6666666666666666,0.09090909090909091,0.8888888888888888,8,1,20,2
retrained,mutation_group_out,CP3_LR,0.7119234386682205,0.4671717171717171,0.2903225806451613,0.5,0.045454545454545456,0.8888888888888888,8,1,21,1
retrained,mutation_group_out,CP3_LR,0.7286649712256914,0.4444444444444444,0.25806451612903225,0.0,0.0,0.8888888888888888,8,1,22,0
retrained,mutation_group_out,CP3_LR,1.00000001,0.5,0.2903225806451613,0.0,0.0,1.0,9,0,22,0
retrained,mutation_group_out,CP3_RF,0.0,0.5,0.7096774193548387,0.7096774193548387,1.0,0.0,0,9,0,22
retrained,mutation_group_out,CP3_RF,0.25013672032176043,0.51010101010101,0.6774193548387096,0.7142857142857143,0.9090909090909091,0.1111111111111111,1,8,2,20
