model,C388_threshold,n_work,n_nonwork,objective,AUC,score_threshold,accuracy,balanced_accuracy,TP,TN,FP,FN,distance
CP_density3_RF,0.04333249999999995,29,2,accuracy,0.06896551724137931,0.0,0.9354838709677419,0.5,29.0,0.0,2.0,0.0,0.5
CP_density3_RF,0.04333249999999995,29,2,balanced_accuracy,0.06896551724137931,0.8558755268877123,0.0967741935483871,0.5172413793103449,1.0,2.0,0.0,28.0,0.3558755268877123
CP_density3_RF,0.05,29,2,accuracy,0.06896551724137931,0.0,0.9354838709677419,0.5,29.0,0.0,2.0,0.0,0.5
CP_density3_RF,0.05,29,2,balanced_accuracy,0.06896551724137931,0.8558755268877123,0.0967741935483871,0.5172413793103449,1.0,2.0,0.0,28.0,0.3558755268877123
CP_density3_RF,0.1,28,3,accuracy,0.13095238095238096,0.0,0.9032258064516129,0.5,28.0,0.0,3.0,0.0,0.5
CP_density3_RF,0.1,28,3,balanced_accuracy,0.13095238095238096,0.8558755268877123,0.12903225806451613,0.5178571428571429,1.0,3.0,0.0,27.0,0.3558755268877123
CP_density3_RF,0.15000000000000002,28,3,accuracy,0.13095238095238096,0.0,0.9032258064516129,0.5,28.0,0.0,3.0,0.0,0.5
CP_density3_RF,0.15000000000000002,28,3,balanced_accuracy,0.13095238095238096,0.8558755268877123,0.12903225806451613,0.5178571428571429,1.0,3.0,0.0,27.0,0.3558755268877123
CP_density3_RF,0.16001249999999995,28,3,accuracy,0.13095238095238096,0.0,0.9032258064516129,0.5,28.0,0.0,3.0,0.0,0.5
CP_density3_RF,0.16001249999999995,28,3,balanced_accuracy,0.13095238095238096,0.8558755268877123,0.12903225806451613,0.5178571428571429,1.0,3.0,0.0,27.0,0.3558755268877123
CP_density3_RF,0.2,28,3,accuracy,0.13095238095238096,0.0,0.9032258064516129,0.5,28.0,0.0,3.0,0.0,0.5
CP_density3_RF,0.2,28,3,balanced_accuracy,0.13095238095238096,0.8558755268877123,0.12903225806451613,0.5178571428571429,1.0,3.0,0.0,27.0,0.3558755268877123
CP_density3_RF,0.24332999999999996,27,4,accuracy,0.34259259259259256,0.02485998682689855,0.8709677419354839,0.6064814814814814,26.0,1.0,3.0,1.0,0.47514001317310145
CP_density3_RF,0.24332999999999996,27,4,balanced_accuracy,0.34259259259259256,0.02485998682689855,0.8709677419354839,0.6064814814814814,26.0,1.0,3.0,1.0,0.47514001317310145
CP_density3_RF,0.25,27,4,accuracy,0.34259259259259256,0.02485998682689855,0.8709677419354839,0.6064814814814814,26.0,1.0,3.0,1.0,0.47514001317310145
CP_density3_RF,0.25,27,4,balanced_accuracy,0.34259259259259256,0.02485998682689855,0.8709677419354839,0.6064814814814814,26.0,1.0,3.0,1.0,0.47514001317310145
CP_density3_RF,0.28906999999999994,26,5,accuracy,0.2846153846153846,0.02485998682689855,0.8387096774193549,0.5807692307692308,25.0,1.0,4.0,1.0,0.47514001317310145
CP_density3_RF,0.28906999999999994,26,5,balanced_accuracy,0.2846153846153846,0.02485998682689855,0.8387096774193549,0.5807692307692308,25.0,1.0,4.0,1.0,0.47514001317310145
CP_density3_RF,0.3,26,5,accuracy,0.2846153846153846,0.02485998682689855,0.8387096774193549,0.5807692307692308,25.0,1.0,4.0,1.0,0.47514001317310145
CP_density3_RF,0.3,26,5,balanced_accuracy,0.2846153846153846,0.02485998682689855,0.8387096774193549,0.5807692307692308,25.0,1.0,4.0,1.0,0.47514001317310145
CP_density3_RF,0.3368625,25,6,accuracy,0.2866666666666666,0.02485998682689855,0.8064516129032258,0.5633333333333334,24.0,1.0,5.0,1.0,0.47514001317310145
CP_density3_RF,0.3368625,25,6,balanced_accuracy,0.2866666666666666,0.02485998682689855,0.8064516129032258,0.5633333333333334,24.0,1.0,5.0,1.0,0.47514001317310145
CP_density3_RF,0.35000000000000003,24,7,accuracy,0.3273809523809524,0.02485998682689855,0.7741935483870968,0.5505952380952381,23.0,1.0,6.0,1.0,0.47514001317310145
CP_density3_RF,0.35000000000000003,24,7,balanced_accuracy,0.3273809523809524,0.02485998682689855,0.7741935483870968,0.5505952380952381,23.0,1.0,6.0,1.0,0.47514001317310145
CP_density3_RF,0.3611025,24,7,accuracy,0.3273809523809524,0.02485998682689855,0.7741935483870968,0.5505952380952381,23.0,1.0,6.0,1.0,0.47514001317310145
CP_density3_RF,0.3611025,24,7,balanced_accuracy,0.3273809523809524,0.02485998682689855,0.7741935483870968,0.5505952380952381,23.0,1.0,6.0,1.0,0.47514001317310145
CP_density3_RF,0.4,23,8,accuracy,0.33967391304347827,0.02485998682689855,0.7419354838709677,0.5407608695652174,22.0,1.0,7.0,1.0,0.47514001317310145
CP_density3_RF,0.4,23,8,balanced_accuracy,0.33967391304347827,0.02485998682689855,0.7419354838709677,0.5407608695652174,22.0,1.0,7.0,1.0,0.47514001317310145
CP_density3_RF,0.40819,23,8,accuracy,0.33967391304347827,0.02485998682689855,0.7419354838709677,0.5407608695652174,22.0,1.0,7.0,1.0,0.47514001317310145
CP_density3_RF,0.40819,23,8,balanced_accuracy,0.33967391304347827,0.02485998682689855,0.7419354838709677,0.5407608695652174,22.0,1.0,7.0,1.0,0.47514001317310145
CP_density3_RF,0.45,22,9,accuracy,0.33080808080808083,0.02485998682689855,0.7096774193548387,0.5328282828282829,21.0,1.0,8.0,1.0,0.47514001317310145
CP_density3_RF,0.45,22,9,balanced_accuracy,0.33080808080808083,0.02485998682689855,0.7096774193548387,0.5328282828282829,21.0,1.0,8.0,1.0,0.47514001317310145
CP_density3_RF,0.4809925,22,9,accuracy,0.33080808080808083,0.02485998682689855,0.7096774193548387,0.5328282828282829,21.0,1.0,8.0,1.0,0.47514001317310145
CP_density3_RF,0.4809925,22,9,balanced_accuracy,0.33080808080808083,0.02485998682689855,0.7096774193548387,0.5328282828282829,21.0,1.0,8.0,1.0,0.47514001317310145
CP_density3_RF,0.5,22,9,accuracy,0.33080808080808083,0.02485998682689855,0.7096774193548387,0.5328282828282829,21.0,1.0,8.0,1.0,0.47514001317310145
CP_density3_RF,0.5,22,9,balanced_accuracy,0.33080808080808083,0.02485998682689855,0.7096774193548387,0.5328282828282829,21.0,1.0,8.0,1.0,0.47514001317310145
CP_density3_RF,0.52407,21,10,accuracy,0.3595238095238096,0.02485998682689855,0.6774193548387096,0.5261904761904762,20.0,1.0,9.0,1.0,0.47514001317310145
CP_density3_RF,0.52407,21,10,balanced_accuracy,0.3595238095238096,0.02485998682689855,0.6774193548387096,0.5261904761904762,20.0,1.0,9.0,1.0,0.47514001317310145
CP_density3_RF,0.542325,20,11,accuracy,0.3704545454545455,0.02485998682689855,0.6451612903225806,0.5204545454545454,19.0,1.0,10.0,1.0,0.47514001317310145
CP_density3_RF,0.542325,20,11,balanced_accuracy,0.3704545454545455,0.8558755268877123,0.3870967741935484,0.525,1.0,11.0,0.0,19.0,0.3558755268877123
CP_density3_RF,0.55,20,11,accuracy,0.3704545454545455,0.02485998682689855,0.6451612903225806,0.5204545454545454,19.0,1.0,10.0,1.0,0.47514001317310145
CP_density3_RF,0.55,20,11,balanced_accuracy,0.3704545454545455,0.8558755268877123,0.3870967741935484,0.525,1.0,11.0,0.0,19.0,0.3558755268877123
CP_density3_RF,0.5558624999999999,19,12,accuracy,0.41885964912280704,0.02485998682689855,0.6129032258064516,0.5153508771929824,18.0,1.0,11.0,1.0,0.47514001317310145
CP_density3_RF,0.5558624999999999,19,12,balanced_accuracy,0.41885964912280704,0.7954437620748199,0.4838709677419355,0.5328947368421053,6.0,9.0,3.0,13.0,0.2954437620748199
CP_density3_RF,0.56508,18,13,accuracy,0.47435897435897434,0.3345076997031333,0.5806451612903226,0.532051282051282,15.0,3.0,10.0,3.0,0.16549230029686668
