site,validation,fold,reported_family,family,model,threshold,inner_BA,label_threshold_pp
C871,LOOCV,p6_r7_trq,Local_deltaCP,Local_deltaCP,LR_1,0.09827316257783186,0.8333333333333333,-5
C871,LOOCV,p6_r7_trq,Sequence,Sequence,LR_0.01,0.5735634096743258,0.5833333333333334,-5
C871,LOOCV,p6_r7_trq,Sequence_Local,Sequence_Local,LR_0.1,0.37694601003782285,0.7777777777777777,-5
C871,LOOCV,p6_r7_trq,ContactSeek_CCR,ContactSeek_CCR,LDA_shrinkage,0.5,0.8055555555555556,-5
C871,LOOCV,p6_r7_trq,Nested_all,Total_CP,RF_depth1,0.7677576134018389,0.8611111111111112,-5
C871,LOOCV,p6_r7_wfd,Total_CP,Total_CP,RF_depth1,0.7675370251665448,0.8611111111111112,-5
C871,LOOCV,p6_r7_wfd,Interface_RMS,Interface_RMS,SVM_RBF,0.27493262674350327,0.8333333333333333,-5
C871,LOOCV,p6_r7_wfd,CP_summary,CP_summary,SVM_RBF,0.4427975033920419,0.8333333333333333,-5
C871,LOOCV,p6_r7_wfd,Repository,Repository,SVM_RBF,0.4505884274653599,0.8055555555555556,-5
C871,LOOCV,p6_r7_wfd,Local_deltaCP,Local_deltaCP,LR_1,0.09827316257783186,0.8333333333333333,-5
C871,LOOCV,p6_r7_wfd,Sequence,Sequence,SVM_RBF,0.709742592247781,0.6111111111111112,-5
C871,LOOCV,p6_r7_wfd,Sequence_Local,Sequence_Local,LR_0.1,0.3880474967431311,0.7777777777777777,-5
C871,LOOCV,p6_r7_wfd,ContactSeek_CCR,ContactSeek_CCR,LDA_shrinkage,0.5,0.8055555555555556,-5
C871,LOOCV,p6_r7_wfd,Nested_all,Total_CP,RF_depth1,0.7675370251665448,0.8611111111111112,-5
C871,LOOCV,p6_r7_wfq,Total_CP,Total_CP,RF_depth1,0.7675370251665448,0.8611111111111112,-5
C871,LOOCV,p6_r7_wfq,Interface_RMS,Interface_RMS,SVM_RBF,0.2749326262308654,0.8333333333333333,-5
C871,LOOCV,p6_r7_wfq,CP_summary,CP_summary,SVM_RBF,0.43402739235706583,0.8333333333333333,-5
C871,LOOCV,p6_r7_wfq,Repository,Repository,SVM_RBF,0.4416292025581989,0.8333333333333333,-5
C871,LOOCV,p6_r7_wfq,Local_deltaCP,Local_deltaCP,LR_1,0.09827316257783186,0.8333333333333333,-5
C871,LOOCV,p6_r7_wfq,Sequence,Sequence,LR_0.01,0.5743911039019163,0.5833333333333334,-5
C871,LOOCV,p6_r7_wfq,Sequence_Local,Sequence_Local,LR_0.1,0.36804681544674245,0.7777777777777777,-5
C871,LOOCV,p6_r7_wfq,ContactSeek_CCR,ContactSeek_CCR,LDA_shrinkage,0.5,0.8055555555555556,-5
C871,LOOCV,p6_r7_wfq,Nested_all,Total_CP,RF_depth1,0.7675370251665448,0.8611111111111112,-5
C871,LOOCV,p7_r5_syvirr,Total_CP,Total_CP,RF_depth1,0.7675370251665448,0.8611111111111112,-5
C871,LOOCV,p7_r5_syvirr,Interface_RMS,Interface_RMS,SVM_RBF,0.27493242379745625,0.8333333333333333,-5
C871,LOOCV,p7_r5_syvirr,CP_summary,CP_summary,SVM_RBF,0.42711605073094006,0.8333333333333333,-5
C871,LOOCV,p7_r5_syvirr,Repository,Repository,SVM_RBF,0.4503912541758239,0.7777777777777777,-5
C871,LOOCV,p7_r5_syvirr,Local_deltaCP,Local_deltaCP,LR_1,0.09827316257783186,0.8333333333333333,-5
C871,LOOCV,p7_r5_syvirr,Sequence,Sequence,LR_0.01,0.565503656326992,0.6388888888888888,-5
C871,LOOCV,p7_r5_syvirr,Sequence_Local,Sequence_Local,LR_0.1,0.3704747782799073,0.7777777777777777,-5
C871,LOOCV,p7_r5_syvirr,ContactSeek_CCR,ContactSeek_CCR,LDA_shrinkage,0.5,0.8333333333333333,-5
C871,LOOCV,p7_r5_syvirr,Nested_all,Total_CP,RF_depth1,0.7675370251665448,0.8611111111111112,-5
C871,LOOCV,p8_r6_gve,Total_CP,Total_CP,RF_depth1,0.768132092380033,0.8888888888888888,-5
C871,LOOCV,p8_r6_gve,Interface_RMS,Interface_RMS,SVM_RBF,0.27494113192760533,0.8333333333333333,-5
C871,LOOCV,p8_r6_gve,CP_summary,CP_summary,LR_1,0.19275909006686154,0.8333333333333333,-5
C871,LOOCV,p8_r6_gve,Repository,Repository,LR_0.01,0.4543162239993052,0.75,-5
C871,LOOCV,p8_r6_gve,Local_deltaCP,Local_deltaCP,LR_1,0.14193118416959716,0.8055555555555556,-5
C871,LOOCV,p8_r6_gve,Sequence,Sequence,LDA_shrinkage,0.9999999999999988,0.6388888888888888,-5
C871,LOOCV,p8_r6_gve,Sequence_Local,Sequence_Local,LR_0.01,0.4145299762296204,0.75,-5
C871,LOOCV,p8_r6_gve,ContactSeek_CCR,ContactSeek_CCR,LDA_shrinkage,0.5,0.8055555555555556,-5
C871,LOOCV,p8_r6_gve,Nested_all,Total_CP,RF_depth1,0.768132092380033,0.8888888888888888,-5
C871,Position_group_out,4,Total_CP,Total_CP,RF_depth1,0.9247003584970074,0.8235294117647058,-5
C871,Position_group_out,4,Interface_RMS,Interface_RMS,SVM_RBF,0.7310952517078538,0.7058823529411764,-5
C871,Position_group_out,4,CP_summary,CP_summary,LR_1,0.07070912570676961,0.7745098039215685,-5
C871,Position_group_out,4,Repository,Repository,LDA_shrinkage,0.01341682594655702,0.7745098039215685,-5
C871,Position_group_out,4,Local_deltaCP,Local_deltaCP,LR_1,2.735702880152401e-06,0.9117647058823529,-5
C871,Position_group_out,4,Sequence,Sequence,LR_0.01,0.5417648989398622,0.5882352941176471,-5
C871,Position_group_out,4,Sequence_Local,Sequence_Local,LR_0.1,0.34852016926902785,0.8823529411764706,-5
C871,Position_group_out,4,ContactSeek_CCR,ContactSeek_CCR,LR_1,0.5,0.7156862745098038,-5
C871,Position_group_out,4,Nested_all,Local_deltaCP,LR_1,2.735702880152401e-06,0.9117647058823529,-5
C871,Position_group_out,4+7,Total_CP,Total_CP,LR_0.01,0.5,0.5,-5
C871,Position_group_out,4+7,Interface_RMS,Interface_RMS,LR_0.01,0.5,0.5,-5
C871,Position_group_out,4+7,CP_summary,CP_summary,LR_0.01,0.0,0.5,-5
C871,Position_group_out,4+7,Repository,Repository,LR_0.01,0.0,0.5,-5
C871,Position_group_out,4+7,Local_deltaCP,Local_deltaCP,LR_0.01,0.0,0.5,-5
C871,Position_group_out,4+7,Sequence,Sequence,LR_0.01,0.0,0.5,-5
C871,Position_group_out,4+7,Sequence_Local,Sequence_Local,LR_0.01,0.0,0.5,-5
C871,Position_group_out,4+7,ContactSeek_CCR,ContactSeek_CCR,LR_0.01,0.5,0.5,-5
C871,Position_group_out,4+7,Nested_all,Total_CP,LR_0.01,0.5,0.5,-5
C871,Position_group_out,5,Total_CP,Total_CP,LR_0.01,0.0,0.5,-5
C871,Position_group_out,5,Interface_RMS,Interface_RMS,LR_0.01,0.0,0.5,-5
C871,Position_group_out,5,CP_summary,CP_summary,LR_0.01,0.0,0.5,-5
C871,Position_group_out,5,Repository,Repository,LR_0.01,0.0,0.5,-5
C871,Position_group_out,5,Local_deltaCP,Local_deltaCP,LR_0.01,0.0,0.5,-5
C871,Position_group_out,5,Sequence,Sequence,LR_0.01,0.0,0.5,-5
C871,Position_group_out,5,Sequence_Local,Sequence_Local,LR_0.01,0.0,0.5,-5
C871,Position_group_out,5,ContactSeek_CCR,ContactSeek_CCR,LR_0.01,0.0,0.5,-5
C871,Position_group_out,5,Nested_all,Total_CP,LR_0.01,0.0,0.5,-5
C871,Position_group_out,6,Total_CP,Total_CP,LR_0.01,0.4928390214265843,0.7619047619047619,-5
C871,Position_group_out,6,Interface_RMS,Interface_RMS,SVM_RBF,0.40264380207416217,0.6547619047619048,-5
C871,Position_group_out,6,CP_summary,CP_summary,LR_0.01,0.4757763589713274,0.7619047619047619,-5
C871,Position_group_out,6,Repository,Repository,LR_0.01,0.4794414469260513,0.7619047619047619,-5
C871,Position_group_out,6,Local_deltaCP,Local_deltaCP,RF_depth1,0.5931965811965809,0.7261904761904762,-5
C871,Position_group_out,6,Sequence,Sequence,SVM_RBF,0.7293650663883335,0.5714285714285714,-5
