site,label_threshold_pp,validation,family,model,policy,n_unique,n_predictions,BA,accuracy,precision,recall,specificity,TP,TN,FP,FN,AUC,AP
C871,-10,Position_group_out,Interface_RMS,RF_depth1,training_only_threshold,22,22,0.4095238095238095,0.45454545454545453,0.6153846153846154,0.5333333333333333,0.2857142857142857,8.0,2.0,5.0,7.0,0.4380952380952381,0.6816509634156692
C871,-10,Position_group_out,Interface_RMS,RF_depth2,fixed_0.5,22,22,0.4714285714285714,0.5909090909090909,0.6666666666666666,0.8,0.14285714285714285,12.0,1.0,6.0,3.0,0.5761904761904761,0.7190665575108299
C871,-10,Position_group_out,Interface_RMS,RF_depth2,training_only_threshold,22,22,0.5095238095238095,0.5909090909090909,0.6875,0.7333333333333333,0.2857142857142857,11.0,2.0,5.0,4.0,0.5761904761904761,0.7190665575108299
C871,-10,Position_group_out,Interface_RMS,SVM_RBF,fixed_0.5,22,22,0.5476190476190476,0.5909090909090909,0.7142857142857143,0.6666666666666666,0.42857142857142855,10.0,3.0,4.0,5.0,0.5380952380952381,0.7605582916109231
C871,-10,Position_group_out,Interface_RMS,SVM_RBF,training_only_threshold,22,22,0.40476190476190477,0.5,0.625,0.6666666666666666,0.14285714285714285,10.0,1.0,6.0,5.0,0.5380952380952381,0.7605582916109231
C871,-10,Position_group_out,Interface_RMS,nested_model_selection,training_only_threshold,22,22,0.40476190476190477,0.5,0.625,0.6666666666666666,0.14285714285714285,10.0,1.0,6.0,5.0,0.46190476190476193,0.6760711121237437
C871,-10,Position_group_out,Local_deltaCP,ExtraTrees_depth2,fixed_0.5,22,22,0.43333333333333335,0.5909090909090909,0.65,0.8666666666666667,0.0,13.0,0.0,7.0,2.0,0.24761904761904763,0.586296066907522
C871,-10,Position_group_out,Local_deltaCP,ExtraTrees_depth2,training_only_threshold,22,22,0.37142857142857144,0.45454545454545453,0.6,0.6,0.14285714285714285,9.0,1.0,6.0,6.0,0.24761904761904763,0.586296066907522
C871,-10,Position_group_out,Local_deltaCP,GaussianNB,fixed_0.5,22,22,0.5,0.6818181818181818,0.6818181818181818,1.0,0.0,15.0,0.0,7.0,0.0,0.5,0.6818181818181818
C871,-10,Position_group_out,Local_deltaCP,GaussianNB,training_only_threshold,22,22,0.5,0.6818181818181818,0.6818181818181818,1.0,0.0,15.0,0.0,7.0,0.0,0.5,0.6818181818181818
C871,-10,Position_group_out,Local_deltaCP,LDA_shrinkage,fixed_0.5,22,22,0.36666666666666664,0.5,0.6111111111111112,0.7333333333333333,0.0,11.0,0.0,7.0,4.0,0.2761904761904762,0.5722455803570354
C871,-10,Position_group_out,Local_deltaCP,LDA_shrinkage,training_only_threshold,22,22,0.4,0.5454545454545454,0.631578947368421,0.8,0.0,12.0,0.0,7.0,3.0,0.2761904761904762,0.5722455803570354
C871,-10,Position_group_out,Local_deltaCP,LR_0.01,fixed_0.5,22,22,0.3333333333333333,0.45454545454545453,0.5882352941176471,0.6666666666666666,0.0,10.0,0.0,7.0,5.0,0.29523809523809524,0.6205428386542937
C871,-10,Position_group_out,Local_deltaCP,LR_0.01,training_only_threshold,22,22,0.40476190476190477,0.5,0.625,0.6666666666666666,0.14285714285714285,10.0,1.0,6.0,5.0,0.29523809523809524,0.6205428386542937
C871,-10,Position_group_out,Local_deltaCP,LR_0.1,fixed_0.5,22,22,0.3333333333333333,0.45454545454545453,0.5882352941176471,0.6666666666666666,0.0,10.0,0.0,7.0,5.0,0.2857142857142857,0.6170074851189401
C871,-10,Position_group_out,Local_deltaCP,LR_0.1,training_only_threshold,22,22,0.4,0.5454545454545454,0.631578947368421,0.8,0.0,12.0,0.0,7.0,3.0,0.2857142857142857,0.6170074851189401
C871,-10,Position_group_out,Local_deltaCP,LR_1,fixed_0.5,22,22,0.36666666666666664,0.5,0.6111111111111112,0.7333333333333333,0.0,11.0,0.0,7.0,4.0,0.2857142857142857,0.5770074851189402
C871,-10,Position_group_out,Local_deltaCP,LR_1,training_only_threshold,22,22,0.4,0.5454545454545454,0.631578947368421,0.8,0.0,12.0,0.0,7.0,3.0,0.2857142857142857,0.5770074851189402
C871,-10,Position_group_out,Local_deltaCP,RF_depth1,fixed_0.5,22,22,0.4666666666666667,0.6363636363636364,0.6666666666666666,0.9333333333333333,0.0,14.0,0.0,7.0,1.0,0.3142857142857143,0.6284469646853548
C871,-10,Position_group_out,Local_deltaCP,RF_depth1,training_only_threshold,22,22,0.4095238095238095,0.45454545454545453,0.6153846153846154,0.5333333333333333,0.2857142857142857,8.0,2.0,5.0,7.0,0.3142857142857143,0.6284469646853548
C871,-10,Position_group_out,Local_deltaCP,RF_depth2,fixed_0.5,22,22,0.4666666666666667,0.6363636363636364,0.6666666666666666,0.9333333333333333,0.0,14.0,0.0,7.0,1.0,0.3238095238095238,0.6054840017223918
C871,-10,Position_group_out,Local_deltaCP,RF_depth2,training_only_threshold,22,22,0.4095238095238095,0.45454545454545453,0.6153846153846154,0.5333333333333333,0.2857142857142857,8.0,2.0,5.0,7.0,0.3238095238095238,0.6054840017223918
